mode,sample,launches_per_event_interval,first,fe2o3_us,hipblaslt_us
synchronized_latency,226,1,fe2o3,6.52,8.04
synchronized_latency,227,1,hipblaslt,6.52,8.04
synchronized_latency,228,1,fe2o3,6.36,7.96
synchronized_latency,229,1,hipblaslt,6.6,7.88
synchronized_latency,230,1,fe2o3,6.52,7.84
synchronized_latency,231,1,hipblaslt,6.56,7.88
synchronized_latency,232,1,fe2o3,6.48,7.92
synchronized_latency,233,1,hipblaslt,6.48,7.84
synchronized_latency,234,1,fe2o3,6.48,7.92
synchronized_latency,235,1,hipblaslt,6.48,11.24
synchronized_latency,236,1,fe2o3,6.52,10.6
synchronized_latency,237,1,hipblaslt,6.52,7.96
synchronized_latency,238,1,fe2o3,6.48,7.88
synchronized_latency,239,1,hipblaslt,6.44,7.6
synchronized_latency,240,1,fe2o3,6.36,7.76
synchronized_latency,241,1,hipblaslt,6.68,7.84
synchronized_latency,242,1,fe2o3,6.52,7.84
synchronized_latency,243,1,hipblaslt,6.48,7.96
synchronized_latency,244,1,fe2o3,6.48,7.88
synchronized_latency,245,1,hipblaslt,6.48,7.72
synchronized_latency,246,1,fe2o3,6.56,7.92
synchronized_latency,247,1,hipblaslt,6.56,7.88
synchronized_latency,248,1,fe2o3,6.48,7.72
synchronized_latency,249,1,hipblaslt,6.48,7.68
synchronized_latency,250,1,fe2o3,6.56,7.88
synchronized_latency,251,1,hipblaslt,6.4,7.76
synchronized_latency,252,1,fe2o3,6.36,7.76
synchronized_latency,253,1,hipblaslt,6.36,7.72
synchronized_latency,254,1,fe2o3,6.48,7.88
synchronized_latency,255,1,hipblaslt,6.48,7.84
synchronized_latency,256,1,fe2o3,6.48,7.76
synchronized_latency,257,1,hipblaslt,6.48,7.8
synchronized_latency,258,1,fe2o3,6.4,7.96
synchronized_latency,259,1,hipblaslt,6.44,7.92
synchronized_latency,260,1,fe2o3,6.4,7.92
synchronized_latency,261,1,hipblaslt,6.52,7.96
synchronized_latency,262,1,fe2o3,6.48,8.041
